0,1,2,3,4,5,6,7
0.073221505,-0.06322005,-0.047820304,0.12243738,-0.030902483,0.02881073,-0.04378821,0.12880015
0.09174302,-0.050478462,0.046766013,-0.026922608,0.07272615,0.09091827,0.025532633,0.11615055
0.0996783,0.0030689582,0.10038072,-0.04292323,0.11075265,-0.03978002,0.10174871,-0.051983055
0.09896023,0.090278976,0.09518242,0.09243716,0.05068857,0.07985645,0.018371383,0.006020137
-0.04496758,0.10944921,0.05117023,0.10864791,-0.040218204,-0.04055501,0.08680535,0.11570513
0.028502613,0.07000715,-0.01585817,0.046521343,0.107640676,0.02347338,0.12270438,0.08149177
0.03599383,0.10487743,-0.05550747,0.08245961,0.09954577,-0.023572735,-0.06694816,0.082482874
-0.06874492,-0.019023376,0.09818682,0.067841634,0.0819532,0.114214346,0.07048945,-0.030981604
0.050958853,-0.06209676,0.11534561,0.11257839,-0.009779977,-0.06621137,0.083836466,0.009175677
0.121743284,0.00029032055,-0.04749211,0.109792136,-0.051621217,0.012730559,0.12111376,-0.003223876
-0.019847522,0.06743113,0.14465111,-0.024935469,0.11834601,-0.0064993734,-0.028059114,0.093606114
0.12782863,0.01792964,-0.03210596,-0.05772212,0.016835788,0.12987109,0.09793554,-0.053848516
-0.027749985,0.12176349,-0.058041163,0.056546677,-0.051499814,0.12049927,0.050279837,-0.00090410764
0.025616413,0.02548631,0.09806213,0.010513334,-0.06544646,0.109786905,-0.02262274,0.09916561
0.051540207,-0.042998713,-0.041248035,0.09681282,0.10224549,0.11971936,-0.04696342,-0.04439578
