id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch,Cluster
80,2,2025-01-16 15:48:36,39,1166,Thursday,583,100,688,320,home,True,2
81,3,2025-01-16 15:49:16,79,669,Thursday,230,196,425,502,home,True,1
82,2,2025-01-16 15:49:16,42,220,Thursday,232,196,424,476,home,True,2
83,2,2025-01-16 15:49:19,22,116,Thursday,365,76,503,292,home,True,2
84,2,2025-01-16 15:49:19,47,62,Thursday,232,197,426,477,home,True,2
85,5,2025-01-16 15:49:24,135,367,Thursday,371,367,901,839,home,True,2
86,2,2025-01-16 15:49:53,109,2221,Thursday,355,69,494,287,home,True,0
87,2,2025-01-16 15:50:59,35,65,Thursday,232,196,425,417,home,True,2
88,3,2025-01-16 15:51:41,2,68,Thursday,663,131,785,268,home,True,2
89,2,2025-01-16 15:51:44,48,951,Thursday,668,145,779,389,home,True,2
90,2,2025-01-16 15:52:02,120,2231,Thursday,670,162,773,392,home,True,0
91,2,2025-01-16 15:53:12,68,1189,Thursday,670,155,773,391,home,True,0
92,2,2025-01-16 15:54:16,5,129,Thursday,670,165,773,392,home,True,0
93,3,2025-01-16 15:57:28,8,225,Thursday,551,130,695,263,home,True,2
94,5,2025-01-16 15:57:36,7,87,Thursday,493,378,820,767,home,True,1
95,5,2025-01-16 15:57:37,7,77,Thursday,702,156,930,390,home,True,1
96,5,2025-01-16 15:57:41,8,163,Thursday,494,381,821,766,home,True,1
97,8,2025-01-16 15:57:48,431,2541,Thursday,1,267,61,331,home,True,1
98,5,2025-01-16 15:57:51,12,358,Thursday,606,41,826,329,home,True,1
99,3,2025-01-16 15:58:05,414,538,Thursday,91,229,271,413,home,True,0
100,5,2025-01-16 15:58:05,414,4471,Thursday,340,367,906,846,home,True,2
101,2,2025-01-16 15:58:05,83,60,Thursday,550,513,632,656,home,True,0
102,2,2025-01-16 16:00:33,231,131,Thursday,550,514,632,655,home,True,0
103,9,2025-01-16 16:01:55,93,77,Thursday,589,691,644,764,home,False,0
104,9,2025-01-16 16:50:53,23,509,Thursday,321,154,364,204,home,False,1
105,5,2025-01-16 16:51:09,3,79,Thursday,724,17,1063,356,home,True,1
106,5,2025-01-16 16:51:13,95,1441,Thursday,470,94,891,438,home,True,1
107,8,2025-01-16 16:51:59,92,2426,Thursday,393,130,544,245,home,True,0
108,5,2025-01-16 16:53:22,29,385,Thursday,318,165,781,587,home,True,0
109,8,2025-01-16 16:53:45,21,345,Thursday,425,80,530,233,home,False,0
110,8,2025-01-16 16:53:53,4,84,Thursday,422,93,498,216,home,True,0
111,5,2025-01-16 16:54:05,386,6154,Thursday,325,223,725,605,home,True,2
112,8,2025-01-16 16:54:07,1,56,Thursday,467,43,546,189,home,False,1
113,8,2025-01-16 16:54:09,1,58,Thursday,488,33,557,178,home,False,1
114,8,2025-01-16 16:54:11,3,113,Thursday,478,27,542,167,home,True,0
115,5,2025-01-16 16:54:15,15,155,Thursday,35,6,953,829,home,True,1
116,8,2025-01-16 16:54:31,2,61,Thursday,472,4,546,161,home,False,1
117,8,2025-01-16 16:54:31,8,147,Thursday,482,0,567,150,home,False,1
118,8,2025-01-16 16:54:42,3,62,Thursday,544,0,590,101,home,False,1
119,8,2025-01-16 16:56:25,6,60,Thursday,569,0,662,64,home,True,0
120,8,2025-01-16 16:56:41,9,181,Thursday,492,31,572,197,home,False,1
121,8,2025-01-16 16:56:46,3,65,Thursday,496,36,577,175,home,True,0
122,8,2025-01-16 16:56:52,1,51,Thursday,548,0,601,117,home,False,1
123,8,2025-01-16 16:56:54,3,90,Thursday,561,0,613,98,home,False,1
124,8,2025-01-16 16:57:24,3,52,Thursday,481,28,550,171,home,True,0
125,8,2025-01-16 16:57:43,21,266,Thursday,466,125,521,258,home,True,3
126,8,2025-01-16 16:57:52,11,135,Thursday,485,115,542,255,home,True,0
127,8,2025-01-16 16:58:05,7,93,Thursday,480,78,557,216,home,False,1
128,8,2025-01-16 16:58:06,3,81,Thursday,484,81,567,218,home,True,0
129,8,2025-01-16 16:58:10,10,235,Thursday,492,62,575,207,home,False,1
130,8,2025-01-16 16:58:21,8,189,Thursday,532,26,609,169,home,False,1
131,8,2025-01-16 16:58:58,8,167,Thursday,524,55,598,212,home,False,1
132,8,2025-01-16 16:58:58,9,102,Thursday,537,50,623,207,home,False,1
133,8,2025-01-16 16:59:08,4,141,Thursday,573,24,644,180,home,True,0
134,8,2025-01-16 16:59:53,7,153,Thursday,519,53,587,203,home,False,1
