id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch,Cluster
64,5,2025-01-13 19:15:34,25,214,Monday,291,21,886,391,599,184,562,324,home,True,8
65,2,2025-01-13 19:16:00,228,1438,Monday,122,60,302,272,213,165,180,216,home,False,7
66,5,2025-01-13 19:16:01,224,290,Monday,10,10,279,191,146,104,271,189,home,False,0
67,8,2025-01-13 19:16:22,134,3307,Monday,434,75,480,153,457,114,45,77,home,False,1
68,13,2025-01-13 19:16:59,95,226,Monday,334,87,413,250,377,169,73,163,home,False,11
69,12,2025-01-13 19:19:28,49,1390,Monday,348,91,613,181,415,101,263,74,home,False,2
70,12,2025-01-13 19:20:17,17,503,Monday,359,101,595,174,415,132,110,62,home,False,2
71,2,2025-01-16 15:48:36,40,1179,Thursday,583,100,688,320,636,210,104,220,home,False,7
72,5,2025-01-16 15:48:53,166,371,Thursday,370,369,902,839,657,616,490,445,home,True,8
73,2,2025-01-16 15:49:16,42,272,Thursday,232,196,424,479,329,303,190,212,home,True,7
74,3,2025-01-16 15:49:16,140,680,Thursday,230,196,425,502,328,351,194,308,home,True,5
75,2,2025-01-16 15:49:19,143,1999,Thursday,365,76,503,292,515,221,127,219,home,True,7
76,2,2025-01-16 15:51:17,19,358,Thursday,361,101,495,290,428,212,134,159,home,True,7
77,2,2025-01-16 15:51:44,48,951,Thursday,668,145,779,389,712,258,107,261,home,True,7
78,2,2025-01-16 15:52:02,139,2359,Thursday,670,162,773,392,721,279,103,224,home,True,7
79,2,2025-01-16 15:53:12,68,1189,Thursday,670,155,773,391,721,270,103,240,home,True,7
80,8,2025-01-16 15:57:48,431,2541,Thursday,1,267,61,331,31,298,59,63,home,True,4
81,5,2025-01-16 15:57:51,12,358,Thursday,606,41,826,329,819,181,490,362,home,True,8
82,5,2025-01-16 15:58:04,415,4472,Thursday,339,368,907,846,630,611,554,470,home,True,8
83,2,2025-01-16 15:58:05,413,211,Thursday,550,513,632,656,591,584,80,143,home,True,7
84,3,2025-01-16 15:58:05,414,538,Thursday,91,229,271,413,180,319,194,188,home,True,5
85,9,2025-01-16 16:50:53,52,509,Thursday,321,154,364,204,343,179,43,49,home,False,7
86,5,2025-01-16 16:51:13,87,1422,Thursday,470,94,891,438,735,243,465,277,home,True,8
87,8,2025-01-16 16:51:48,103,2430,Thursday,395,132,546,246,510,215,139,107,home,False,1
88,5,2025-01-16 16:53:04,468,6662,Thursday,277,165,780,612,611,250,383,338,home,False,0
89,8,2025-01-16 16:53:45,18,445,Thursday,427,97,519,245,484,100,117,167,home,False,1
90,8,2025-01-16 16:54:15,24,208,Thursday,470,3,550,152,492,46,80,93,home,False,1
91,8,2025-01-16 16:56:41,10,293,Thursday,492,31,572,197,542,113,40,169,home,False,1
92,8,2025-01-16 16:57:42,24,292,Thursday,458,124,518,258,482,196,70,132,home,False,1
93,8,2025-01-16 16:57:42,26,339,Thursday,481,121,541,266,532,178,50,147,home,True,4
94,8,2025-01-16 16:58:09,15,390,Thursday,492,66,568,206,531,129,66,125,home,False,1
95,5,2025-01-16 17:00:19,41,582,Thursday,503,22,827,311,685,148,278,293,home,True,8
96,8,2025-01-16 17:01:00,31,828,Thursday,565,295,732,367,672,277,167,59,home,True,4
97,5,2025-01-16 17:01:27,85,842,Thursday,434,10,956,414,755,187,538,375,home,True,8
98,8,2025-01-16 17:01:38,19,209,Thursday,479,103,563,262,523,203,68,99,home,False,1
99,8,2025-01-16 17:02:00,27,237,Thursday,490,90,574,236,527,164,80,158,home,False,1
100,8,2025-01-16 17:02:06,27,307,Thursday,538,72,592,246,562,151,40,205,home,False,1
101,8,2025-01-16 17:02:33,34,359,Thursday,552,43,613,185,589,112,55,142,home,False,1
102,5,2025-01-16 17:02:51,181,3645,Thursday,404,32,923,474,703,320,440,308,home,False,0
103,8,2025-01-16 17:04:09,103,442,Thursday,360,177,410,314,386,246,49,136,home,False,1
104,5,2025-01-19 15:23:32,31,207,Sunday,526,620,753,843,640,731,225,222,home,False,5
105,4,2025-01-19 15:23:39,65,381,Sunday,1,133,232,320,116,224,231,191,home,True,4
106,5,2025-01-19 15:23:45,63,859,Sunday,373,43,744,377,555,206,378,332,home,False,5
107,5,2025-01-19 15:24:16,112,396,Sunday,414,530,633,720,472,646,187,225,home,True,6
108,8,2025-01-19 15:24:48,31,731,Sunday,602,244,766,348,667,293,175,84,home,False,9
109,8,2025-01-19 15:25:31,49,558,Sunday,358,338,421,510,397,460,37,107,home,False,9
110,9,2025-01-19 15:25:43,62,838,Sunday,346,359,395,420,370,390,49,60,home,False,10
111,8,2025-01-19 15:25:51,69,342,Sunday,381,389,418,586,400,488,36,197,home,False,9
112,5,2025-01-19 15:26:31,39,844,Sunday,341,26,688,372,511,186,349,330,home,False,5
113,8,2025-01-19 15:27:01,31,935,Sunday,344,396,457,576,401,486,112,180,home,True,8
114,5,2025-01-19 15:27:39,327,4053,Sunday,221,120,797,518,504,328,575,360,home,True,6
115,4,2025-01-19 15:29:24,179,288,Sunday,954,0,1065,93,1008,46,112,93,home,False,4
116,5,2025-01-19 15:29:28,218,380,Sunday,97,464,370,718,227,594,262,252,home,True,6
117,5,2025-01-19 15:29:52,219,759,Sunday,100,460,376,715,238,588,275,254,home,True,6
118,8,2025-01-19 15:30:23,34,362,Sunday,444,243,594,356,527,307,167,105,home,True,8
119,8,2025-01-19 15:30:33,24,235,Sunday,462,179,591,304,524,82,38,140,home,False,9
120,8,2025-01-19 15:31:17,64,403,Sunday,487,113,621,250,607,146,54,115,home,False,9
121,8,2025-01-19 15:32:04,15,279,Sunday,477,156,599,258,516,192,82,72,home,True,8
122,8,2025-01-19 15:32:51,37,742,Sunday,284,328,422,448,328,404,42,176,home,False,9
123,8,2025-01-19 16:34:28,69,474,Sunday,203,169,313,279,261,220,99,118,home,False,9
124,5,2025-01-19 16:34:40,43,740,Sunday,513,378,768,586,619,403,425,435,home,False,5
125,13,2025-01-19 16:36:54,18,299,Sunday,394,137,539,260,466,199,144,122,home,False,0
126,9,2025-01-19 16:37:21,80,2351,Sunday,366,397,520,582,454,500,130,166,home,True,4
127,13,2025-01-19 16:38:40,116,289,Sunday,248,222,404,346,315,282,152,133,home,False,0
