0,1,2,3,4,label,dt,is_touch
-0.3636657,2.7908804,-2.728542,-2.7614698,-2.2240975,8,2024-12-23 12:30:06,False
3.7221444,-2.6243396,-2.4942286,-2.3532414,0.40056738,5,2024-12-23 19:03:39,False
-1.7052531,0.14924103,3.3986714,2.5543082,0.47155976,5,2024-12-23 19:03:40,True
-1.34025,0.09420609,3.7025015,2.192764,0.3802569,5,2024-12-23 19:04:03,True
0.13413455,3.7655282,3.1498737,-1.9676323,1.5954969,12,2024-12-23 19:04:14,False
-1.6361766,0.16904487,3.118163,2.243481,0.47678927,5,2024-12-23 19:05:07,True
-1.7325193,0.15313686,3.3920262,2.6365612,0.47910133,5,2024-12-23 19:05:09,True
-0.23726974,3.2462149,1.2827944,2.0979247,2.5220752,8,2024-12-23 19:05:15,False
-0.18064643,3.2993362,1.3136472,2.0233119,2.5578349,8,2024-12-23 19:05:40,False
-0.22041328,3.1624377,1.265627,2.0733001,2.5474312,8,2024-12-23 19:06:00,False
-0.19860567,3.2349389,1.2949431,1.9776567,2.5471709,8,2024-12-23 19:08:54,False
2.2258048,1.2807962,4.3731995,-0.22327873,-0.85747033,8,2024-12-23 19:09:59,True
2.3242843,1.242312,4.241012,-0.28195295,-0.871225,8,2024-12-23 19:10:34,True
2.2932162,1.2875482,4.423786,-0.24606793,-0.8511839,8,2024-12-23 19:11:01,True
2.1683717,1.2117183,4.1487107,-0.24944797,-0.82254183,8,2024-12-23 19:11:52,True
-0.21690136,3.0515049,1.2838591,1.9794976,2.6180086,8,2024-12-23 19:12:04,False
-0.27024037,-0.995808,-2.785945,-2.7841315,4.4819365,19,2024-12-23 20:22:23,False
-1.674485,0.15468176,3.241598,2.411564,0.46736878,5,2024-12-23 20:22:23,True
-2.1025755,0.13565701,2.1787944,-2.8840992,4.1782737,2,2024-12-23 20:27:33,True
3.483739,-2.3449688,2.3608475,0.99514353,-0.96115714,9,2024-12-23 20:27:56,True
3.1151593,-2.4012716,2.3271067,1.008856,-0.869177,9,2024-12-23 20:31:42,True
-1.9621382,0.15604335,2.091581,-2.6031346,4.007696,2,2024-12-23 20:31:42,True
2.0681996,-0.11065019,2.0876803,2.4551136,1.8135086,5,2024-12-24 09:08:39,True
2.2617874,-0.07507274,2.0626633,2.7570324,1.8422178,5,2024-12-24 09:08:40,True
2.2461452,-0.045590248,1.9500198,2.6978095,1.7776984,5,2024-12-24 09:08:42,True
-0.44109976,2.825735,0.98995596,3.5144074,-1.3253756,5,2024-12-24 09:18:00,False
2.034049,-0.11684378,2.1332402,2.5655372,1.7882596,5,2024-12-24 09:19:03,True
2.3004546,-0.07246487,1.8547328,2.717114,1.8551999,5,2024-12-24 09:19:46,True
-0.42110792,2.8051536,0.941845,3.3133051,-1.3583618,5,2024-12-24 09:21:35,False
2.047034,-0.09591571,2.0588121,2.5630655,1.743393,5,2024-12-24 09:21:37,True
0.8262168,0.30910268,0.26026532,-3.966135,1.2280893,4,2024-12-24 09:21:54,False
-0.44763684,2.909521,1.0420194,3.704712,-1.361021,5,2024-12-24 09:22:13,False
-0.44601566,2.8343732,1.0256174,3.6511815,-1.3492336,5,2024-12-24 09:22:13,False
2.2874906,-0.06461715,1.8387635,2.6784582,1.7795216,5,2024-12-24 09:24:16,True
2.1065025,-0.090963185,2.320543,2.5928173,1.8804723,5,2024-12-24 09:25:24,True
2.1912155,-0.08584917,2.0352597,2.8135486,1.8489907,5,2024-12-24 09:25:29,True
1.8993806,3.2313113,-2.5927067,3.740977,-0.10413779,8,2024-12-24 09:25:34,True
2.1895418,-0.08239926,2.0269942,2.5916786,1.7975878,5,2024-12-24 09:27:09,True
-2.328956,3.828693,3.2125654,-0.07197381,-1.6689796,8,2024-12-24 09:38:00,False
2.0476797,-0.07614922,2.056333,2.6294472,1.7205951,5,2024-12-24 09:38:02,True
-0.45659503,2.9655523,1.0490854,3.737054,-1.3558103,5,2024-12-24 09:38:15,False
-2.1337569,3.5896397,3.4393234,-0.043426782,-1.6395422,8,2024-12-24 09:44:59,False
-2.1854339,3.5236776,3.5450072,-0.042939402,-1.6609027,8,2024-12-24 09:46:38,False
-2.193151,3.5234358,3.5438838,-0.04425883,-1.657656,8,2024-12-24 09:46:39,False
2.0397718,-0.112000585,2.2569413,2.4736903,1.820323,5,2024-12-24 09:56:00,True
1.6947166,3.109156,-2.4604084,3.239803,-0.054505184,8,2024-12-24 09:57:31,True
-0.44603693,2.641298,1.0406876,3.809467,-1.3251226,5,2024-12-24 10:00:42,False
2.171898,-0.09451919,2.070098,2.7303805,1.8020272,5,2024-12-24 10:01:09,True
3.2309191,-1.289897,-0.32259306,-1.6877427,-2.6932597,9,2024-12-24 10:01:10,False
2.398225,-0.013510895,2.2090294,2.535457,1.9555433,5,2024-12-24 10:05:00,True
-0.43016323,2.9616876,1.0366168,3.6449928,-1.4123551,5,2024-12-24 10:05:06,False
2.1496246,-0.07842521,2.102927,2.4786308,1.7961886,5,2024-12-24 10:05:29,True
2.1432066,-0.09684954,2.2107806,2.544116,1.8561803,5,2024-12-24 10:08:03,True
2.1151545,-0.12608467,2.2252645,2.6709979,1.8869067,5,2024-12-24 10:13:00,True
-0.3857746,2.9996643,0.97647893,3.4037669,-1.4422072,5,2024-12-24 10:21:00,False
2.086087,-0.105712034,2.0163746,2.4553308,1.8071798,5,2024-12-24 10:27:00,True
2.2382703,1.1835995,4.018863,-0.30201334,-0.8333274,8,2025-01-13 19:11:00,True
-2.0122478,0.12757403,2.103947,-2.6730998,3.8898656,2,2025-01-13 19:11:06,True
-0.23450652,3.1673284,1.3361597,2.0841591,2.7488077,8,2025-01-13 19:12:12,False
-1.1093426,-2.5553045,3.5911446,-1.2651312,1.2302125,13,2025-01-13 19:12:16,False
-0.22028053,3.2430868,1.3006804,2.072267,2.571933,8,2025-01-13 19:13:12,False
-0.21096677,3.1916766,1.3338748,2.0685854,2.752736,8,2025-01-13 19:13:40,False
-0.22095583,3.028382,1.2188524,1.9802246,2.5196664,8,2025-01-13 19:13:48,False
-0.23874578,3.0870912,1.2817734,2.0472288,2.62418,8,2025-01-13 19:14:59,False
-1.5511532,0.121116675,3.5274997,2.2164595,0.46065828,5,2025-01-13 19:15:34,True
-3.0398247,2.4052536,-2.9076953,1.1418687,5.00398,2,2025-01-13 19:16:00,False
3.2016077,-2.6105425,-2.3561504,-2.4622638,0.49270386,5,2025-01-13 19:16:01,False
-0.21526499,3.3120801,1.3266869,2.1287563,2.658762,8,2025-01-13 19:16:22,False
-1.1143297,-2.670396,3.704333,-1.2633275,1.3209498,13,2025-01-13 19:16:59,False
0.12968415,3.7049763,3.1897106,-2.022688,1.6197088,12,2025-01-13 19:19:28,False
0.120286174,3.6514716,3.2657905,-1.8235334,1.6339979,12,2025-01-13 19:20:17,False
-3.08251,3.5021524,-2.665655,0.8129987,-0.52463347,2,2025-01-16 15:48:36,False
-1.2463897,-1.096216,1.0944241,1.5915049,3.8338838,5,2025-01-16 15:48:53,True
2.5292573,2.5978162,-0.5020736,-0.93738025,3.2076013,2,2025-01-16 15:49:16,True
0.2924307,-2.851579,-1.0523536,4.515193,1.740181,3,2025-01-16 15:49:16,True
2.4619997,2.5389247,-0.52709347,-0.859348,3.1793275,2,2025-01-16 15:49:19,True
2.4477108,2.404363,-0.56177986,-0.86249727,3.382933,2,2025-01-16 15:51:17,True
2.497093,2.6552875,-0.5249096,-0.99728316,3.4823148,2,2025-01-16 15:51:44,True
2.5057378,2.5953352,-0.5148173,-0.9560647,3.3483949,2,2025-01-16 15:52:02,True
2.4327588,2.5380394,-0.52280974,-0.958448,3.4197876,2,2025-01-16 15:53:12,True
0.076479115,-2.0651305,3.6538334,-1.222322,-2.9022872,8,2025-01-16 15:57:48,True
-1.3060302,-1.1321225,1.0802189,1.593266,3.6984656,5,2025-01-16 15:57:51,True
-1.3001853,-1.0919787,1.0867244,1.5931709,3.8219194,5,2025-01-16 15:58:04,True
2.4739814,2.6087265,-0.5150022,-0.938585,3.247436,2,2025-01-16 15:58:05,True
0.30190107,-2.849403,-1.1145574,4.7400317,1.7267967,3,2025-01-16 15:58:05,True
1.738431,-1.9857535,-3.0029993,2.6554818,-3.8481307,9,2025-01-16 16:50:53,False
-1.2502208,-1.1789305,1.1124483,1.6036637,3.8175657,5,2025-01-16 16:51:13,True
3.4980702,3.3048599,0.97073287,1.5491663,-0.09520096,8,2025-01-16 16:51:48,False
-3.329794,2.8973722,0.86712945,-0.58186847,1.8866844,5,2025-01-16 16:53:04,False
3.4171462,3.2004871,0.932118,1.5057893,-0.09032247,8,2025-01-16 16:53:45,False
3.411476,3.4236975,1.0182388,1.5513114,-0.10303392,8,2025-01-16 16:54:15,False
3.322807,3.3772225,0.99883,1.5051497,-0.09964259,8,2025-01-16 16:56:41,False
3.2625804,3.1827104,0.9320832,1.4608048,-0.08928771,8,2025-01-16 16:57:42,False
0.08526946,-2.1038337,3.8067412,-1.268373,-2.9700162,8,2025-01-16 16:57:42,True
3.2394085,3.5030212,1.0282372,1.4932101,-0.11805691,8,2025-01-16 16:58:09,False
-1.3396465,-1.0864444,1.0863701,1.6186831,3.807611,5,2025-01-16 17:00:19,True
0.08099563,-1.9502283,3.767469,-1.3648663,-2.6946816,8,2025-01-16 17:01:00,True
-1.2264847,-1.0399708,1.0504875,1.4996517,3.8138995,5,2025-01-16 17:01:27,True
3.2294705,3.5100136,1.0286177,1.490919,-0.11724771,8,2025-01-16 17:01:38,False
3.476393,3.40142,0.9915134,1.5424002,-0.097736835,8,2025-01-16 17:02:00,False
3.446287,3.54349,1.0566481,1.5858964,-0.111621514,8,2025-01-16 17:02:06,False
3.5059376,3.303532,0.9659557,1.5485002,-0.09458764,8,2025-01-16 17:02:33,False
-3.4758263,2.7352602,0.92967606,-0.4650824,1.8933376,5,2025-01-16 17:02:51,False
3.5702589,3.2363827,0.9396899,1.5485071,-0.09515549,8,2025-01-16 17:04:09,False
3.4533796,-1.7648218,-0.8555364,0.36175266,4.032515,5,2025-01-19 15:23:32,False
-3.2152536,0.086132295,0.32350788,2.276491,-2.3852215,4,2025-01-19 15:23:39,True
3.0081275,-2.1170535,-0.6038374,0.34524903,3.7943618,5,2025-01-19 15:23:45,False
1.178874,0.7074615,-2.2909238,3.206015,3.9967368,5,2025-01-19 15:24:16,True
2.4636123,-0.39008197,3.2162352,-1.3592954,2.9364264,8,2025-01-19 15:24:48,False
2.6068504,-0.4017602,3.2288604,-1.4841003,2.8905413,8,2025-01-19 15:25:31,False
3.3114393,2.7852533,0.6036852,-2.377852,-1.2456044,9,2025-01-19 15:25:43,False
2.7642593,-0.40665087,3.1738489,-1.5134301,2.8607132,8,2025-01-19 15:25:51,False
3.152866,-1.9173983,-0.72922623,0.3462406,3.8075285,5,2025-01-19 15:26:31,False
-1.1765184,3.803789,-2.1978397,-2.4871798,2.143276,8,2025-01-19 15:27:01,True
1.2453103,0.7593947,-2.2326784,3.259073,4.1254654,5,2025-01-19 15:27:39,True
-3.1853454,-3.5448227,-0.9946561,-1.4668126,3.155335,4,2025-01-19 15:29:24,False
1.2422262,0.76737624,-2.2379968,3.1277034,4.119964,5,2025-01-19 15:29:28,True
1.2159979,0.73642725,-2.3967648,3.2673616,4.165339,5,2025-01-19 15:29:52,True
-1.2160479,3.8709626,-2.254805,-2.7382803,2.2420015,8,2025-01-19 15:30:23,True
2.7646632,-0.3877582,3.1342573,-1.5738113,2.8609006,8,2025-01-19 15:30:33,False
2.6783102,-0.39548936,3.1350067,-1.5007452,2.9534786,8,2025-01-19 15:31:17,False
-1.2279011,3.8779376,-2.295304,-2.5677876,2.2495244,8,2025-01-19 15:32:04,True
2.672186,-0.35967106,3.011658,-1.5392652,2.8158247,8,2025-01-19 15:32:51,False
2.37388,-0.38195428,3.1409864,-1.4652729,2.9570067,8,2025-01-19 16:34:28,False
3.400302,-1.813889,-0.76972514,0.36042693,3.723378,5,2025-01-19 16:34:40,False
-2.6482215,-1.1149235,-1.7778065,3.0102682,0.9177598,13,2025-01-19 16:36:54,False
-0.083930336,2.0135827,1.2517837,-1.8331506,-3.36427,9,2025-01-19 16:37:21,True
-2.6112478,-1.023565,-2.0150654,3.512654,0.9446955,13,2025-01-19 16:38:40,False
