0,1,2,3,4
3.3981667,3.3624399,0.987515,1.525605,-0.10108119
-1.6844944,-0.91002727,0.6128938,-0.5104955,3.6052785
-0.59182286,3.134746,1.243061,1.7433197,2.507226
1.3728073,2.9491186,-1.0416434,-1.4302855,2.99026
-0.93814445,-2.0896132,3.5895588,-1.2793274,-1.4337533
2.1726475,-0.080406785,2.055737,2.6127367,1.8131951
-1.4578322,-0.82280016,2.5888884,2.7518933,-0.27256984
0.72228837,2.496189,-2.729772,3.722164,-0.9769543
-0.9662895,3.448858,3.1679966,-1.41647,0.20106685
2.7980337,-2.3763065,-1.1188533,-1.190953,-1.3519466
-0.97721934,2.653127,0.57601595,3.186838,-1.3839343
2.535326,2.3123438,-0.5546524,-2.0750895,-1.438298
3.7176008,-1.5547104,-1.3369894,1.011263,2.6162784
-0.29306126,-0.4570173,-2.3302338,2.7636404,2.7022483
2.2499895,1.2411948,4.2411146,-0.26055223,-0.8471498
3.1851678,-1.0457621,2.2692668,1.839242,-1.8579807
2.6096218,-0.38880944,3.1397207,-1.4919615,2.9020379
